Mean_Age,Pathogen
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_dysgalactiae
Below_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Below_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Below_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Below_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Below_Mean_Age,Streptococcus_dysgalactiae
Below_Mean_Age,Streptococcus_dysgalactiae
Below_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Streptococcus_dysgalactiae
Below_Mean_Age,Streptococcus_dysgalactiae
Equal_or_Above_Mean_Age,Listeria_monocytogenes
Below_Mean_Age,Listeria_monocytogenes
Below_Mean_Age,Listeria_monocytogenes
Equal_or_Above_Mean_Age,Listeria_monocytogenes
Equal_or_Above_Mean_Age,Listeria_monocytogenes
Below_Mean_Age,Listeria_monocytogenes
Below_Mean_Age,Listeria_monocytogenes
Equal_or_Above_Mean_Age,Listeria_monocytogenes
Equal_or_Above_Mean_Age,Listeria_monocytogenes
Equal_or_Above_Mean_Age,Listeria_monocytogenes
Equal_or_Above_Mean_Age,Listeria_monocytogenes
Below_Mean_Age,Listeria_monocytogenes
Equal_or_Above_Mean_Age,Listeria_monocytogenes
Equal_or_Above_Mean_Age,Listeria_monocytogenes
Equal_or_Above_Mean_Age,Listeria_monocytogenes
Below_Mean_Age,Listeria_monocytogenes
Below_Mean_Age,Listeria_monocytogenes
Equal_or_Above_Mean_Age,Listeria_monocytogenes
Below_Mean_Age,Enterococcus_gallinarum
Equal_or_Above_Mean_Age,Enterococcus_gallinarum
Equal_or_Above_Mean_Age,Enterococcus_gallinarum
Below_Mean_Age,Enterococcus_gallinarum
Below_Mean_Age,Enterococcus_gallinarum
Equal_or_Above_Mean_Age,Enterococcus_gallinarum
Equal_or_Above_Mean_Age,Enterococcus_gallinarum
Equal_or_Above_Mean_Age,Enterococcus_gallinarum
Below_Mean_Age,Enterococcus_gallinarum
Equal_or_Above_Mean_Age,Enterococcus_gallinarum
Equal_or_Above_Mean_Age,Enterococcus_gallinarum
Equal_or_Above_Mean_Age,Enterococcus_gallinarum
Equal_or_Above_Mean_Age,Enterococcus_gallinarum
Equal_or_Above_Mean_Age,Enterococcus_gallinarum
Equal_or_Above_Mean_Age,Enterococcus_gallinarum
Below_Mean_Age,Enterococcus_gallinarum
Below_Mean_Age,Enterococcus_gallinarum
Equal_or_Above_Mean_Age,Enterococcus_gallinarum
Equal_or_Above_Mean_Age,Enterococcus_gallinarum
Equal_or_Above_Mean_Age,Enterococcus_gallinarum
Below_Mean_Age,Enterococcus_gallinarum
Below_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_sonnei
Equal_or_Above_Mean_Age,Shigella_sonnei
Below_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Shigella_dysenteriae
Equal_or_Above_Mean_Age,Shigella_dysenteriae
Below_Mean_Age,Klebsiella_aerogenes
Equal_or_Above_Mean_Age,Klebsiella_aerogenes
Equal_or_Above_Mean_Age,Klebsiella_aerogenes
Below_Mean_Age,Klebsiella_aerogenes
Equal_or_Above_Mean_Age,Klebsiella_aerogenes
Below_Mean_Age,Klebsiella_aerogenes
Equal_or_Above_Mean_Age,Klebsiella_aerogenes
Equal_or_Above_Mean_Age,Klebsiella_aerogenes
Equal_or_Above_Mean_Age,Klebsiella_aerogenes
Below_Mean_Age,Klebsiella_aerogenes
Equal_or_Above_Mean_Age,Klebsiella_aerogenes
Below_Mean_Age,Klebsiella_aerogenes
Equal_or_Above_Mean_Age,Klebsiella_aerogenes
Equal_or_Above_Mean_Age,Klebsiella_aerogenes
Equal_or_Above_Mean_Age,Klebsiella_aerogenes
Equal_or_Above_Mean_Age,Klebsiella_aerogenes
Below_Mean_Age,Klebsiella_aerogenes
Below_Mean_Age,Klebsiella_aerogenes
Equal_or_Above_Mean_Age,Klebsiella_aerogenes
Equal_or_Above_Mean_Age,Serratia_marcescens
Equal_or_Above_Mean_Age,Serratia_marcescens
Below_Mean_Age,Serratia_marcescens
Equal_or_Above_Mean_Age,Serratia_marcescens
Below_Mean_Age,Serratia_marcescens
Equal_or_Above_Mean_Age,Serratia_marcescens
Equal_or_Above_Mean_Age,Serratia_marcescens
Equal_or_Above_Mean_Age,Serratia_marcescens
Equal_or_Above_Mean_Age,Serratia_marcescens
Below_Mean_Age,Serratia_marcescens
Below_Mean_Age,Serratia_marcescens
Equal_or_Above_Mean_Age,Aeromonas_hydrophila
Below_Mean_Age,Aeromonas_hydrophila
Equal_or_Above_Mean_Age,Pseudomonas_putida
Below_Mean_Age,Pseudomonas_putida
Equal_or_Above_Mean_Age,Pseudomonas_putida
Below_Mean_Age,Stenotrophomonas_maltophilia
Below_Mean_Age,Stenotrophomonas_maltophilia
Equal_or_Above_Mean_Age,Stenotrophomonas_maltophilia
Equal_or_Above_Mean_Age,Stenotrophomonas_maltophilia
Below_Mean_Age,Stenotrophomonas_maltophilia
Equal_or_Above_Mean_Age,Stenotrophomonas_maltophilia
Equal_or_Above_Mean_Age,Stenotrophomonas_maltophilia
Below_Mean_Age,Stenotrophomonas_maltophilia
Below_Mean_Age,Stenotrophomonas_maltophilia
Equal_or_Above_Mean_Age,Aeromonas_caviae
Equal_or_Above_Mean_Age,Aeromonas_caviae
Below_Mean_Age,Aeromonas_veronii
Equal_or_Above_Mean_Age,Aeromonas_veronii
Below_Mean_Age,Aeromonas_veronii
Equal_or_Above_Mean_Age,Aeromonas_veronii
Equal_or_Above_Mean_Age,Aeromonas_veronii
Below_Mean_Age,Pasteurella_multocida
Below_Mean_Age,Pasteurella_multocida
Below_Mean_Age,Pasteurella_multocida
Below_Mean_Age,Pasteurella_multocida
Equal_or_Above_Mean_Age,Pasteurella_multocida
Below_Mean_Age,Streptobacillus_moniliformis
Equal_or_Above_Mean_Age,Campylobacter_lari
Below_Mean_Age,Campylobacter_lari
Below_Mean_Age,Campylobacter_lari
Equal_or_Above_Mean_Age,Brachyspira_hyodysenteriae
Equal_or_Above_Mean_Age,Brachyspira_hyodysenteriae
Below_Mean_Age,Brachyspira_hyodysenteriae
Equal_or_Above_Mean_Age,Elizabethkingia_anophelis
Below_Mean_Age,Elizabethkingia_anophelis
Equal_or_Above_Mean_Age,Elizabethkingia_anophelis
Below_Mean_Age,Elizabethkingia_anophelis
Equal_or_Above_Mean_Age,Elizabethkingia_anophelis
Equal_or_Above_Mean_Age,Staphylococcus_pseudintermedius
Equal_or_Above_Mean_Age,Staphylococcus_pseudintermedius
Below_Mean_Age,Staphylococcus_pseudintermedius
Below_Mean_Age,Providencia_rettgeri
Below_Mean_Age,Providencia_rettgeri
Below_Mean_Age,Entamoeba_histolytica
Below_Mean_Age,Trichomonas_vaginalis
Below_Mean_Age,Trichomonas_vaginalis
Equal_or_Above_Mean_Age,Trichomonas_vaginalis
Below_Mean_Age,Trichomonas_vaginalis
Below_Mean_Age,Orf_virus
Below_Mean_Age,Schistosoma_mansoni
Equal_or_Above_Mean_Age,Human_polyomavirus_4
Equal_or_Above_Mean_Age,Enterocytozoon_bieneusi
Equal_or_Above_Mean_Age,Enterocytozoon_bieneusi
Equal_or_Above_Mean_Age,Enterocytozoon_bieneusi
Equal_or_Above_Mean_Age,Enterocytozoon_bieneusi
Equal_or_Above_Mean_Age,Enterocytozoon_bieneusi
Below_Mean_Age,Enterocytozoon_bieneusi
Below_Mean_Age,Providencia_alcalifaciens
Below_Mean_Age,Human_mastadenovirus_D
Equal_or_Above_Mean_Age,Human_mastadenovirus_D
Equal_or_Above_Mean_Age,Human_mastadenovirus_D
Below_Mean_Age,Giardia_intestinalis
Equal_or_Above_Mean_Age,Giardia_intestinalis
Equal_or_Above_Mean_Age,Giardia_intestinalis
Equal_or_Above_Mean_Age,Giardia_intestinalis
Below_Mean_Age,Blastocystis_hominis
Below_Mean_Age,Blastocystis_hominis
Below_Mean_Age,Blastocystis_hominis
Equal_or_Above_Mean_Age,Blastocystis_hominis
Equal_or_Above_Mean_Age,Blastocystis_hominis
Below_Mean_Age,Blastocystis_hominis
Below_Mean_Age,Blastocystis_hominis
Equal_or_Above_Mean_Age,Blastocystis_hominis
Below_Mean_Age,Blastocystis_hominis
Equal_or_Above_Mean_Age,Blastocystis_hominis
Below_Mean_Age,Blastocystis_hominis
Equal_or_Above_Mean_Age,Blastocystis_hominis
Equal_or_Above_Mean_Age,Blastocystis_hominis
Below_Mean_Age,Blastocystis_hominis
Equal_or_Above_Mean_Age,Blastocystis_hominis
Below_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Below_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
Equal_or_Above_Mean_Age,Streptococcus_suis
